S.No,Name,Symbol,URL
1,Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/
2,Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/
3,Cardano,ADA,https://coinmarketcap.com/currencies/cardano/
4,Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin/
5,XRP,XRP,https://coinmarketcap.com/currencies/xrp/
6,Solana,SOL,https://coinmarketcap.com/currencies/solana/
7,Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/
8,Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/
9,Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna/
10,Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/
11,Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/
12,Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/
13,Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/
14,Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/
15,Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/
16,Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/
17,Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/
18,Stellar,XLM,https://coinmarketcap.com/currencies/stellar/
19,VeChain,VET,https://coinmarketcap.com/currencies/vechain/
20,TRON,TRX,https://coinmarketcap.com/currencies/tron/
21,Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/
22,Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/
23,THETA,THETA,https://coinmarketcap.com/currencies/theta/
24,Hedera Hashgraph,HBAR,https://coinmarketcap.com/currencies/hedera-hashgraph/
25,eCash,XEC,https://coinmarketcap.com/currencies/ecash/
26,Monero,XMR,https://coinmarketcap.com/currencies/monero/
27,Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld/
28,EOS,EOS,https://coinmarketcap.com/currencies/eos/
29,NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/
30,IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/
31,Fantom,FTM,https://coinmarketcap.com/currencies/fantom/
32,Kusama,KSM,https://coinmarketcap.com/currencies/kusama/
33,Neo,NEO,https://coinmarketcap.com/currencies/neo/
34,Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/
35,TerraUSD,UST,https://coinmarketcap.com/currencies/terrausd/
36,Waves,WAVES,https://coinmarketcap.com/currencies/waves/
37,Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/
38,Celo,CELO,https://coinmarketcap.com/currencies/celo/
39,Dash,DASH,https://coinmarketcap.com/currencies/dash/
40,Helium,HNT,https://coinmarketcap.com/currencies/helium/
41,Harmony,ONE,https://coinmarketcap.com/currencies/harmony/
42,Arweave,AR,https://coinmarketcap.com/currencies/arweave/
43,XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/
44,Stacks,STX,https://coinmarketcap.com/currencies/stacks/
45,Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/
46,Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/
47,Decred,DCR,https://coinmarketcap.com/currencies/decred/
48,NEM,XEM,https://coinmarketcap.com/currencies/nem/
49,Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/
50,ICON,ICX,https://coinmarketcap.com/currencies/icon/
